

New Test 
frame6.jpg | [271, 102] | [274, 312] | [261, 522] | right 
frame7.jpg | [273, 102] | [275, 312] | [261, 522] | right 


New Test 
frame0.jpg | [209, 102] | [0, 312] | [62, 522] | forward 
frame1.jpg | [209, 102] | [0, 312] | [67, 522] | forward 
frame2.jpg | [209, 102] | [0, 312] | [62, 522] | forward 
frame3.jpg | [269, 102] | [274, 312] | [262, 522] | right 
frame4.jpg | [269, 102] | [278, 312] | [267, 522] | right 
frame5.jpg | [269, 102] | [274, 312] | [262, 522] | right 
frame6.jpg | [269, 102] | [278, 312] | [267, 522] | right 
frame7.jpg | [269, 102] | [274, 312] | [267, 522] | right 


New Test 
frame0.jpg | [237, 102] | [0, 312] | [241, 522] | forward 
frame1.jpg | [237, 102] | [0, 312] | [240, 522] | forward 
frame2.jpg | [265, 102] | [0, 312] | [247, 522] | forward 
frame3.jpg | [272, 102] | [278, 312] | [266, 522] | right 
frame4.jpg | [271, 102] | [278, 312] | [266, 522] | right 
frame5.jpg | [272, 102] | [278, 312] | [266, 522] | right 
frame6.jpg | [271, 102] | [278, 312] | [266, 522] | right 
frame7.jpg | [272, 102] | [278, 312] | [266, 522] | right 
frame8.jpg | [272, 102] | [277, 312] | [266, 522] | right 


New Test 
frame0.jpg | [232, 102] | [0, 312] | [213, 522] | forward 
frame1.jpg | [232, 102] | [0, 312] | [213, 522] | forward 
frame2.jpg | [231, 102] | [0, 312] | [111, 522] | forward 
frame3.jpg | [273, 102] | [278, 312] | [271, 522] | right 
frame4.jpg | [272, 102] | [290, 312] | [298, 522] | left 
frame5.jpg | [273, 102] | [290, 312] | [302, 522] | left 
frame6.jpg | [272, 102] | [290, 312] | [311, 522] | left 


New Test 
frame0.jpg | [259, 102] | [0, 312] | [81, 522] | forward 
frame1.jpg | [260, 102] | [0, 312] | [62, 522] | forward 
frame2.jpg | [252, 102] | [0, 312] | [78, 522] | forward 
frame3.jpg | [320, 102] | [351, 312] | [351, 522] | left 
frame4.jpg | [319, 102] | [351, 312] | [351, 522] | left 
frame5.jpg | [320, 102] | [351, 312] | [351, 522] | left 
frame6.jpg | [321, 102] | [351, 312] | [353, 522] | left 
frame7.jpg | [321, 102] | [351, 312] | [353, 522] | left 


New Test 
frame0.jpg | [185, 102] | [0, 312] | [75, 522] | forward 
frame1.jpg | [198, 102] | [0, 312] | [76, 522] | forward 
frame2.jpg | [199, 102] | [0, 312] | [76, 522] | forward 
frame3.jpg | [319, 102] | [351, 312] | [330, 522] | left 
frame4.jpg | [319, 102] | [351, 312] | [330, 522] | left 
frame5.jpg | [319, 102] | [353, 312] | [329, 522] | left 
frame6.jpg | [319, 102] | [351, 312] | [330, 522] | left 
frame7.jpg | [318, 102] | [351, 312] | [330, 522] | left 
frame8.jpg | [318, 102] | [351, 312] | [330, 522] | left 
frame9.jpg | [318, 102] | [351, 312] | [330, 522] | left 


New Test 
frame0.jpg | [100, 102] | [0, 312] | [289, 522] | forward 
frame1.jpg | [93, 102] | [0, 312] | [289, 522] | forward 
frame2.jpg | [152, 102] | [0, 312] | [297, 522] | forward 
frame3.jpg | [317, 102] | [352, 312] | [321, 522] | left 
frame4.jpg | [318, 102] | [351, 312] | [321, 522] | left 
frame5.jpg | [318, 102] | [351, 312] | [321, 522] | left 
frame6.jpg | [318, 102] | [351, 312] | [321, 522] | left 


New Test 


New Test 
frame0.jpg | [82, 102] | [0, 312] | [287, 522] | forward 
frame1.jpg | [86, 102] | [0, 312] | [287, 522] | forward 
frame2.jpg | [92, 102] | [0, 312] | [287, 522] | forward 
frame3.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame4.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame5.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame6.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame7.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame8.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame9.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame10.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame11.jpg | [318, 102] | [351, 312] | [319, 522] | left 
frame12.jpg | [318, 102] | [351, 312] | [319, 522] | left 


New Test 
frame0.jpg | [55, 102] | [0, 312] | [263, 522] | forward 
frame1.jpg | [78, 102] | [0, 312] | [266, 522] | forward 
frame2.jpg | [78, 102] | [0, 312] | [270, 522] | forward 
frame3.jpg | [320, 102] | [352, 312] | [320, 522] | left 
frame4.jpg | [319, 102] | [352, 312] | [320, 522] | left 
frame5.jpg | [320, 102] | [352, 312] | [320, 522] | left 
frame6.jpg | [319, 102] | [352, 312] | [320, 522] | left 
frame7.jpg | [320, 102] | [352, 312] | [320, 522] | left 
frame8.jpg | [321, 102] | [352, 312] | [323, 522] | left 
frame9.jpg | [321, 102] | [352, 312] | [323, 522] | left 
frame10.jpg | [324, 102] | [354, 312] | [323, 522] | right 
frame11.jpg | [324, 102] | [354, 312] | [323, 522] | right 
frame12.jpg | [323, 102] | [351, 312] | [323, 522] | left 


New Test 
frame0.jpg | [82, 102] | [41, 312] | [308, 522] | forward 
frame1.jpg | [92, 102] | [41, 312] | [308, 522] | forward 
frame2.jpg | [73, 102] | [41, 312] | [309, 522] | forward 
frame3.jpg | [320, 102] | [358, 312] | [311, 522] | right 
frame4.jpg | [321, 102] | [356, 312] | [311, 522] | right 
frame5.jpg | [319, 102] | [356, 312] | [312, 522] | right 
frame6.jpg | [321, 102] | [354, 312] | [311, 522] | right 
frame7.jpg | [315, 102] | [355, 312] | [309, 522] | right 


New Test 
frame0.jpg | [53, 102] | [0, 312] | [177, 522] | forward 
frame1.jpg | [317, 102] | [352, 312] | [317, 522] | left 
frame2.jpg | [317, 102] | [352, 312] | [311, 522] | right 
frame3.jpg | [317, 102] | [351, 312] | [320, 522] | left 
frame4.jpg | [315, 102] | [351, 312] | [321, 522] | left 
frame5.jpg | [316, 102] | [352, 312] | [326, 522] | left 
frame6.jpg | [317, 102] | [352, 312] | [326, 522] | left 


New Test 
frame0.jpg | [75, 102] | [0, 312] | [261, 522] | forward 
frame1.jpg | [320, 102] | [352, 312] | [326, 522] | forward 
frame2.jpg | [320, 102] | [354, 312] | [325, 522] | forward 
frame3.jpg | [322, 102] | [352, 312] | [325, 522] | forward 
frame4.jpg | [319, 102] | [352, 312] | [325, 522] | forward 
frame5.jpg | [316, 102] | [352, 312] | [326, 522] | forward 
frame6.jpg | [317, 102] | [352, 312] | [326, 522] | forward 


New Test 
frame0.jpg | [75, 102] | [0, 312] | [260, 522] | forward 
frame1.jpg | [319, 102] | [353, 312] | [326, 522] | left 
frame2.jpg | [320, 102] | [353, 312] | [326, 522] | left 
frame3.jpg | [322, 102] | [352, 312] | [325, 522] | left 
frame4.jpg | [320, 102] | [354, 312] | [325, 522] | left 
frame5.jpg | [317, 102] | [353, 312] | [335, 522] | left 
frame6.jpg | [319, 102] | [356, 312] | [329, 522] | left 


New Test 
frame0.jpg | [75, 102] | [0, 312] | [262, 522] | forward 
frame1.jpg | [318, 102] | [352, 312] | [324, 522] | left 
frame2.jpg | [318, 102] | [352, 312] | [324, 522] | left 
frame3.jpg | [322, 102] | [351, 312] | [324, 522] | left 


New Test 
frame0.jpg | [306, 102] | [306, 312] | [185, 522] | right 
frame1.jpg | [314, 102] | [307, 312] | [296, 522] | right 
frame2.jpg | [307, 102] | [307, 312] | [296, 522] | right 
frame3.jpg | [324, 102] | [307, 312] | [302, 522] | right 
frame4.jpg | [328, 102] | [307, 312] | [300, 522] | right 


New Test 
frame0.jpg | [306, 102] | [305, 312] | [171, 522] | right 
frame1.jpg | [307, 102] | [306, 312] | [308, 522] | right 
frame2.jpg | [307, 102] | [310, 312] | [313, 522] | left 
frame3.jpg | [308, 102] | [307, 312] | [319, 522] | right 
frame4.jpg | [311, 102] | [312, 312] | [351, 522] | left 
frame5.jpg | [311, 102] | [312, 312] | [349, 522] | left 


New Test 
frame0.jpg | [314, 102] | [307, 312] | [173, 522] | right 
frame1.jpg | [314, 102] | [311, 312] | [329, 522] | right 
frame2.jpg | [314, 102] | [311, 312] | [332, 522] | right 
frame3.jpg | [314, 102] | [312, 312] | [342, 522] | right 
frame4.jpg | [316, 102] | [338, 312] | [379, 522] | left 
frame5.jpg | [321, 102] | [341, 312] | [387, 522] | left 
frame6.jpg | [323, 102] | [345, 312] | [404, 522] | left 


New Test 
frame0.jpg | [313, 102] | [307, 312] | [165, 522] | right 
frame1.jpg | [327, 102] | [307, 312] | [306, 522] | right 
frame2.jpg | [326, 102] | [307, 312] | [306, 522] | right 
frame3.jpg | [327, 102] | [307, 312] | [303, 522] | right 
frame4.jpg | [327, 102] | [309, 312] | [306, 522] | right 
frame5.jpg | [327, 102] | [309, 312] | [306, 522] | right 
frame6.jpg | [327, 102] | [309, 312] | [306, 522] | right 


New Test 
frame0.jpg | [273, 102] | [107, 312] | [81, 522] | right 
frame1.jpg | [315, 102] | [320, 312] | [311, 522] | right 
frame2.jpg | [315, 102] | [320, 312] | [312, 522] | right 
frame3.jpg | [315, 102] | [320, 312] | [312, 522] | right 
frame4.jpg | [315, 102] | [320, 312] | [316, 522] | left 
frame5.jpg | [315, 102] | [320, 312] | [316, 522] | left 
frame6.jpg | [316, 102] | [320, 312] | [312, 522] | right 


New Test 
frame0.jpg | [323, 102] | [163, 312] | [243, 522] | right 
frame1.jpg | [389, 102] | [395, 312] | [387, 522] | right 
frame2.jpg | [389, 102] | [395, 312] | [388, 522] | right 
frame3.jpg | [389, 102] | [395, 312] | [388, 522] | right 
frame4.jpg | [389, 102] | [395, 312] | [388, 522] | right 
frame5.jpg | [389, 102] | [395, 312] | [388, 522] | right 


New Test 
frame0.jpg | [0, 102] | [45, 312] | [233, 522] | forward 
frame1.jpg | [371, 102] | [376, 312] | [382, 522] | left 
frame2.jpg | [375, 102] | [376, 312] | [383, 522] | left 
frame3.jpg | [361, 102] | [378, 312] | [384, 522] | left 
frame4.jpg | [375, 102] | [407, 312] | [384, 522] | left 
frame5.jpg | [375, 102] | [407, 312] | [384, 522] | left 
frame6.jpg | [374, 102] | [381, 312] | [385, 522] | left 
frame7.jpg | [386, 102] | [402, 312] | [384, 522] | right 
frame8.jpg | [374, 102] | [395, 312] | [396, 522] | left 
frame9.jpg | [385, 102] | [403, 312] | [394, 522] | left 
frame10.jpg | [374, 102] | [404, 312] | [394, 522] | left 


New Test 
frame0.jpg | [68, 102] | [64, 312] | [229, 522] | forward 
frame1.jpg | [368, 102] | [377, 312] | [382, 522] | left 
frame2.jpg | [371, 102] | [399, 312] | [383, 522] | left 
frame3.jpg | [368, 102] | [390, 312] | [383, 522] | left 
frame4.jpg | [378, 102] | [411, 312] | [383, 522] | left 
frame5.jpg | [394, 102] | [410, 312] | [389, 522] | right 
